2016-02-25 22:58:16 [INFO] Processing index "item_orders.item_orders_cost_id_index"
2016-02-25 22:58:16 [INFO] Processing index "item_orders.item_orders_product_id_index"
2016-02-25 22:58:16 [INFO] Processing index "item_orders.item_orders_currency_id_index"
2016-02-25 22:58:16 [INFO] Processing index "item_orders.item_orders_deleted_at_index"
2016-02-25 22:58:16 [INFO] Processing foreign key "item_orders.item_orders_cost_id_foreign"
2016-02-25 22:58:16 [INFO] Mark column item_orders.cost_id as foreign reference for cost_allocates
2016-02-25 22:58:16 [INFO] Mark column cost_allocates.id as local reference for cost_allocates
2016-02-25 22:58:16 [INFO] Processing foreign key "item_orders.item_orders_currency_id_foreign"
2016-02-25 22:58:16 [INFO] Mark column item_orders.currency_id as foreign reference for shared_currencies
2016-02-25 22:58:16 [INFO] Mark column shared_currencies.id as local reference for shared_currencies
2016-02-25 22:58:16 [INFO] Processing foreign key "item_orders.item_orders_order_id_foreign"
2016-02-25 22:58:16 [INFO] Mark column item_orders.order_id as foreign reference for orders
2016-02-25 22:58:16 [INFO] Mark column orders.id as local reference for orders
2016-02-25 22:58:16 [INFO] Processing foreign key "item_orders.item_orders_product_id_foreign"
2016-02-25 22:58:16 [INFO] Mark column item_orders.product_id as foreign reference for products
2016-02-25 22:58:16 [INFO] Mark column products.id as local reference for products
2016-02-25 22:58:16 [INFO] Processing index "item_order_shared_stat.item_order_shared_stat_item_id_index"
2016-02-25 22:58:16 [INFO] Processing index "item_order_shared_stat.item_order_shared_stat_status_id_index"
2016-02-25 22:58:16 [INFO] Processing index "item_order_shared_stat.PRIMARY"
2016-02-25 22:58:16 [INFO] Processing foreign key "item_order_shared_stat.item_order_shared_stat_item_id_foreign"
2016-02-25 22:58:16 [INFO] Mark column item_order_shared_stat.item_id as foreign reference for item_orders
2016-02-25 22:58:16 [INFO] Mark column item_orders.id as local reference for item_orders
2016-02-25 22:58:16 [INFO] Processing foreign key "item_order_shared_stat.item_order_shared_stat_status_id_foreign"
2016-02-25 22:58:16 [INFO] Mark column item_order_shared_stat.status_id as foreign reference for shared_stats
2016-02-25 22:58:16 [INFO] Mark column shared_stats.id as local reference for shared_stats
2016-02-25 22:58:16 [INFO] Processing index "orders.PRIMARY"
2016-02-25 22:58:16 [INFO] Processing index "orders.orders_mandante_index"
2016-02-25 22:58:16 [INFO] Processing index "orders.orders_partner_id_index"
2016-02-25 22:58:16 [INFO] Processing index "orders.orders_address_id_index"
2016-02-25 22:58:16 [INFO] Processing index "orders.orders_currency_id_index"
2016-02-25 22:58:16 [INFO] Processing index "orders.orders_type_id_index"
2016-02-25 22:58:16 [INFO] Processing index "orders.orders_payment_id_index"
2016-02-25 22:58:16 [INFO] Processing index "orders.orders_old_id_index"
2016-02-25 22:58:16 [INFO] Processing index "orders.orders_deleted_at_index"
2016-02-25 22:58:16 [INFO] Processing foreign key "orders.orders_address_id_foreign"
2016-02-25 22:58:16 [INFO] Mark column orders.address_id as foreign reference for addresses
2016-02-25 22:58:16 [INFO] Mark column addresses.id as local reference for addresses
2016-02-25 22:58:16 [INFO] Processing foreign key "orders.orders_currency_id_foreign"
2016-02-25 22:58:16 [INFO] Mark column orders.currency_id as foreign reference for shared_currencies
2016-02-25 22:58:16 [INFO] Mark column shared_currencies.id as local reference for shared_currencies
2016-02-25 22:58:16 [INFO] Processing foreign key "orders.orders_partner_id_foreign"
2016-02-25 22:58:16 [INFO] Mark column orders.partner_id as foreign reference for partners
2016-02-25 22:58:16 [INFO] Mark column partners.id as local reference for partners
2016-02-25 22:58:16 [INFO] Processing foreign key "orders.orders_payment_id_foreign"
2016-02-25 22:58:16 [INFO] Mark column orders.payment_id as foreign reference for shared_order_payments
2016-02-25 22:58:16 [INFO] Mark column shared_order_payments.id as local reference for shared_order_payments
2016-02-25 22:58:16 [INFO] Processing foreign key "orders.orders_type_id_foreign"
2016-02-25 22:58:16 [INFO] Mark column orders.type_id as foreign reference for shared_order_types
2016-02-25 22:58:16 [INFO] Mark column shared_order_types.id as local reference for shared_order_types
2016-02-25 22:58:16 [INFO] Processing index "order_confirmations.PRIMARY"
2016-02-25 22:58:16 [INFO] Processing index "order_confirmations.order_confirmations_mandante_index"
2016-02-25 22:58:16 [INFO] Processing index "order_confirmations.order_confirmations_order_id_index"
2016-02-25 22:58:16 [INFO] Processing foreign key "order_confirmations.order_confirmations_order_id_foreign"
2016-02-25 22:58:16 [INFO] Mark column order_confirmations.order_id as foreign reference for orders
2016-02-25 22:58:16 [INFO] Mark column orders.id as local reference for orders
2016-02-25 22:58:16 [INFO] Processing index "order_shared_stat.order_shared_stat_order_id_index"
2016-02-25 22:58:16 [INFO] Processing index "order_shared_stat.order_shared_stat_shared_stat_id_index"
2016-02-25 22:58:16 [INFO] Processing index "order_shared_stat.PRIMARY"
2016-02-25 22:58:16 [INFO] Processing foreign key "order_shared_stat.order_shared_stat_order_id_foreign"
2016-02-25 22:58:16 [INFO] Mark column order_shared_stat.order_id as foreign reference for orders
2016-02-25 22:58:16 [INFO] Mark column orders.id as local reference for orders
2016-02-25 22:58:16 [INFO] Processing foreign key "order_shared_stat.order_shared_stat_shared_stat_id_foreign"
2016-02-25 22:58:16 [INFO] Mark column order_shared_stat.shared_stat_id as foreign reference for shared_stats
2016-02-25 22:58:16 [INFO] Mark column shared_stats.id as local reference for shared_stats
2016-02-25 22:58:16 [INFO] Processing index "partners.PRIMARY"
2016-02-25 22:58:16 [INFO] Processing index "partners.partners_mandante_index"
2016-02-25 22:58:16 [INFO] Processing index "partners.partners_user_id_index"
2016-02-25 22:58:16 [INFO] Processing index "partners.partners_old_id_index"
2016-02-25 22:58:16 [INFO] Processing index "partners.partners_deleted_at_index"
2016-02-25 22:58:16 [INFO] Processing foreign key "partners.partners_user_id_foreign"
